"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
106.5,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0028112348785397,0.00420738928269133
114.62,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0030376467815878,0.00420498649025712
121.7,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0032349598470504,0.00420505215049746
130.64,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00348398753488597,0.00420809720423864
141.7,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00379190059759769,0.00421660133720188
153.18,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00411133711026693,0.00423110259264985
165.6,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.004456758261198,0.00425327656225383
187,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00505151757262343,0.00430687083457993
223.28,189.006,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00605866070305953,0.00443982751028263
35.19,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.000653279217579901,0.00434271625046438
46.06,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.000962217201552027,0.00430881617703029
54.39,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00120029316861711,0.00428600719274384
62.2,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00142476261668047,0.00426712247720074
68,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00159235446910239,0.00425468459270576
74.5,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00178111805760658,0.00424240000136933
80.9,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00196774020996071,0.00423208098837079
87.3,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00215483587235704,0.00422356840307302
93,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00232163800659748,0.00421750702235513
99,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00249716460315308,0.00421263741448216
106.5,192.147,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00271614709016018,0.00420863167635927
