"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
46.5,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",268.846412164487,4.61656080233673
55.4,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",270.46304550856,4.50970404057127
63.1,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",271.833636845473,4.44516448160985
69.1,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",272.879397476705,4.40936761584199
75.3,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",273.936256873158,4.38322026641263
81.6,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",274.983435326108,4.36645074431317
87.6,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",275.954293914926,4.35842249084373
93.2,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",276.836095116444,4.35663261218298
99.6,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",277.81411533708,4.3594360833607
106.2,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",278.788644473909,4.36522353260024
114,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",279.89491261924,4.37234071856976
121.39,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",280.895565125226,4.3782077177453
130.3,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",282.037568788836,4.38584093887566
141.3,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",283.346913275357,4.40113598554335
153.58,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",284.674842274077,4.43263416285168
166.93,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",285.95842486201,4.4872875813988
190,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",287.808914893199,4.62127643528773
228.59,193.7,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",290.015689018305,4.92949522213834
34.7,197.17,51,1,"Non-Hispanic White","Less than HS",2.35,"Never","No",267.57041081635,4.78857449281272
